expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
45, 000180, 160, 167, AA, 1643, 10, 164.300000, GDX, 761, 10, 76.100000, GVWY, 2053, 10, 205.300000, SHVR, 1788, 10, 178.800000, ZIC, 946, 10, 94.600000, ZIP, 1866, 10, 186.600000, 160, 167, 
46, 000180, 167, 168, AA, 670, 10, 67.000000, GDX, 614, 10, 61.400000, GVWY, 2783, 10, 278.300000, SHVR, 1599, 10, 159.900000, ZIC, 1217, 10, 121.700000, ZIP, 2322, 10, 232.200000, 167, 168, 
47, 000180, 162, 165, AA, 1595, 10, 159.500000, GDX, 630, 10, 63.000000, GVWY, 1494, 10, 149.400000, SHVR, 1876, 10, 187.600000, ZIC, 750, 10, 75.000000, ZIP, 2113, 10, 211.300000, 162, 165, 
48, 000180, 159, 165, AA, 637, 10, 63.700000, GDX, 1418, 10, 141.800000, GVWY, 2191, 10, 219.100000, SHVR, 2231, 10, 223.100000, ZIC, 1275, 10, 127.500000, ZIP, 1208, 10, 120.800000, 159, 165, 
49, 000180, 168, 172, AA, 925, 10, 92.500000, GDX, 1033, 10, 103.300000, GVWY, 3393, 10, 339.300000, SHVR, 1899, 10, 189.900000, ZIC, 115, 10, 11.500000, ZIP, 2404, 10, 240.400000, 168, 172, 
50, 000180, 160, 162, AA, 215, 10, 21.500000, GDX, 162, 10, 16.200000, GVWY, 2846, 10, 284.600000, SHVR, 3299, 10, 329.900000, ZIC, 1226, 10, 122.600000, ZIP, 1987, 10, 198.700000, 160, 162, 
51, 000180, 163, 170, AA, 517, 10, 51.700000, GDX, 674, 10, 67.400000, GVWY, 1738, 10, 173.800000, SHVR, 1733, 10, 173.300000, ZIC, 972, 10, 97.200000, ZIP, 3276, 10, 327.600000, 163, 170, 
52, 000180, 163, 175, AA, 235, 10, 23.500000, GDX, 342, 10, 34.200000, GVWY, 1367, 10, 136.700000, SHVR, 3822, 10, 382.200000, ZIC, 814, 10, 81.400000, ZIP, 1404, 10, 140.400000, 163, 175, 
53, 000180, 166, 168, AA, 1105, 10, 110.500000, GDX, 144, 10, 14.400000, GVWY, 2662, 10, 266.200000, SHVR, 2379, 10, 237.900000, ZIC, 800, 10, 80.000000, ZIP, 955, 10, 95.500000, 166, 168, 
54, 000180, 155, 165, AA, 148, 10, 14.800000, GDX, 141, 10, 14.100000, GVWY, 3064, 10, 306.400000, SHVR, 2101, 10, 210.100000, ZIC, 1455, 10, 145.500000, ZIP, 3171, 10, 317.100000, 155, 165, 
55, 000180, 173, 174, AA, 992, 10, 99.200000, GDX, 833, 10, 83.300000, GVWY, 1235, 10, 123.500000, SHVR, 4526, 10, 452.600000, ZIC, 465, 10, 46.500000, ZIP, 1486, 10, 148.600000, 173, 174, 
56, 000180, 146, 163, AA, 1504, 10, 150.400000, GDX, 67, 10, 6.700000, GVWY, 2425, 10, 242.500000, SHVR, 1967, 10, 196.700000, ZIC, 1646, 10, 164.600000, ZIP, 1636, 10, 163.600000, 146, 163, 
57, 000180, 142, 186, AA, 892, 10, 89.200000, GDX, 601, 10, 60.100000, GVWY, 2301, 10, 230.100000, SHVR, 1769, 10, 176.900000, ZIC, 1521, 10, 152.100000, ZIP, 1190, 10, 119.000000, 142, 186, 
58, 000180, 155, 158, AA, 1064, 10, 106.400000, GDX, 104, 10, 10.400000, GVWY, 1817, 10, 181.700000, SHVR, 1939, 10, 193.900000, ZIC, 1050, 10, 105.000000, ZIP, 2504, 10, 250.400000, 155, 158, 
59, 000180, 155, 189, AA, 1282, 10, 128.200000, GDX, 160, 10, 16.000000, GVWY, 2671, 10, 267.100000, SHVR, 1341, 10, 134.100000, ZIC, 1499, 10, 149.900000, ZIP, 1809, 10, 180.900000, 155, 189, 
60, 000180, 144, 170, AA, 293, 10, 29.300000, GDX, 810, 10, 81.000000, GVWY, 2580, 10, 258.000000, SHVR, 2384, 10, 238.400000, ZIC, 1650, 10, 165.000000, ZIP, 1194, 10, 119.400000, 144, 170, 
61, 000180, 156, 162, AA, 372, 10, 37.200000, GDX, 348, 10, 34.800000, GVWY, 1974, 10, 197.400000, SHVR, 2556, 10, 255.600000, ZIC, 658, 10, 65.800000, ZIP, 3523, 10, 352.300000, 156, 162, 
62, 000180, 152, 163, AA, 265, 10, 26.500000, GDX, 588, 10, 58.800000, GVWY, 2053, 10, 205.300000, SHVR, 1130, 10, 113.000000, ZIC, 895, 10, 89.500000, ZIP, 3799, 10, 379.900000, 152, 163, 
63, 000180, 165, 171, AA, 887, 10, 88.700000, GDX, 1504, 10, 150.400000, GVWY, 1861, 10, 186.100000, SHVR, 2255, 10, 225.500000, ZIC, 406, 10, 40.600000, ZIP, 1979, 10, 197.900000, 165, 171, 
64, 000180, 154, 157, AA, 95, 10, 9.500000, GDX, 720, 10, 72.000000, GVWY, 3442, 10, 344.200000, SHVR, 3492, 10, 349.200000, ZIC, 851, 10, 85.100000, ZIP, 1957, 10, 195.700000, 154, 157, 
65, 000180, 152, 164, AA, 530, 10, 53.000000, GDX, 773, 10, 77.300000, GVWY, 2392, 10, 239.200000, SHVR, 1689, 10, 168.900000, ZIC, 1050, 10, 105.000000, ZIP, 2390, 10, 239.000000, 152, 164, 
66, 000180, 141, 162, AA, 957, 10, 95.700000, GDX, 649, 10, 64.900000, GVWY, 2352, 10, 235.200000, SHVR, 1508, 10, 150.800000, ZIC, 2461, 10, 246.100000, ZIP, 1843, 10, 184.300000, 141, 162, 
67, 000180, 161, 165, AA, 1237, 10, 123.700000, GDX, 230, 10, 23.000000, GVWY, 1246, 10, 124.600000, SHVR, 1733, 10, 173.300000, ZIC, 1289, 10, 128.900000, ZIP, 3267, 10, 326.700000, 161, 165, 
68, 000180, 155, 158, AA, 710, 10, 71.000000, GDX, 622, 10, 62.200000, GVWY, 1911, 10, 191.100000, SHVR, 360, 10, 36.000000, ZIC, 647, 10, 64.700000, ZIP, 2563, 10, 256.300000, 155, 158, 
69, 000180, 154, 179, AA, 215, 10, 21.500000, GDX, 702, 10, 70.200000, GVWY, 3085, 10, 308.500000, SHVR, 1731, 10, 173.100000, ZIC, 1374, 10, 137.400000, ZIP, 1726, 10, 172.600000, 154, 179, 
70, 000180, 154, 173, AA, 760, 10, 76.000000, GDX, 325, 10, 32.500000, GVWY, 2370, 10, 237.000000, SHVR, 2293, 10, 229.300000, ZIC, 1191, 10, 119.100000, ZIP, 1660, 10, 166.000000, 154, 173, 
71, 000180, 151, 163, AA, 818, 10, 81.800000, GDX, 627, 10, 62.700000, GVWY, 2412, 10, 241.200000, SHVR, 1931, 10, 193.100000, ZIC, 178, 10, 17.800000, ZIP, 3122, 10, 312.200000, 151, 163, 
72, 000180, 162, 172, AA, 506, 10, 50.600000, GDX, 308, 10, 30.800000, GVWY, 2037, 10, 203.700000, SHVR, 3257, 10, 325.700000, ZIC, 211, 10, 21.100000, ZIP, 2535, 10, 253.500000, 162, 172, 
73, 000180, 152, 187, AA, 690, 10, 69.000000, GDX, 614, 10, 61.400000, GVWY, 3481, 10, 348.100000, SHVR, 2539, 10, 253.900000, ZIC, 910, 10, 91.000000, ZIP, 1859, 10, 185.900000, 152, 187, 
74, 000180, 156, 162, AA, 998, 10, 99.800000, GDX, 589, 10, 58.900000, GVWY, 564, 10, 56.400000, SHVR, 2855, 10, 285.500000, ZIC, 1203, 10, 120.300000, ZIP, 3130, 10, 313.000000, 156, 162, 
75, 000180, 168, 184, AA, 481, 10, 48.100000, GDX, 1324, 10, 132.400000, GVWY, 1201, 10, 120.100000, SHVR, 2741, 10, 274.100000, ZIC, 1653, 10, 165.300000, ZIP, 1824, 10, 182.400000, 168, 184, 
76, 000180, 160, 163, AA, 1469, 10, 146.900000, GDX, 236, 10, 23.600000, GVWY, 1870, 10, 187.000000, SHVR, 2803, 10, 280.300000, ZIC, 580, 10, 58.000000, ZIP, 2359, 10, 235.900000, 160, 163, 
77, 000180, 160, 167, AA, 646, 10, 64.600000, GDX, 1358, 10, 135.800000, GVWY, 1329, 10, 132.900000, SHVR, 1865, 10, 186.500000, ZIC, 709, 10, 70.900000, ZIP, 3344, 10, 334.400000, 160, 167, 
78, 000180, 157, 162, AA, 269, 10, 26.900000, GDX, 406, 10, 40.600000, GVWY, 934, 10, 93.400000, SHVR, 3293, 10, 329.300000, ZIC, 1396, 10, 139.600000, ZIP, 3098, 10, 309.800000, 157, 162, 
79, 000180, 153, 165, AA, 561, 10, 56.100000, GDX, 692, 10, 69.200000, GVWY, 3838, 10, 383.800000, SHVR, 2066, 10, 206.600000, ZIC, 840, 10, 84.000000, ZIP, 2746, 10, 274.600000, 153, 165, 
80, 000180, 153, 164, AA, 684, 10, 68.400000, GDX, 464, 10, 46.400000, GVWY, 1250, 10, 125.000000, SHVR, 2077, 10, 207.700000, ZIC, 1031, 10, 103.100000, ZIP, 3289, 10, 328.900000, 153, 164, 
81, 000180, 151, 157, AA, 150, 10, 15.000000, GDX, 1300, 10, 130.000000, GVWY, 1978, 10, 197.800000, SHVR, 1822, 10, 182.200000, ZIC, 1466, 10, 146.600000, ZIP, 2093, 10, 209.300000, 151, 157, 
82, 000180, 161, 172, AA, 329, 10, 32.900000, GDX, 437, 10, 43.700000, GVWY, 2985, 10, 298.500000, SHVR, 1751, 10, 175.100000, ZIC, 754, 10, 75.400000, ZIP, 2555, 10, 255.500000, 161, 172, 
83, 000180, 158, 159, AA, 985, 10, 98.500000, GDX, 428, 10, 42.800000, GVWY, 1770, 10, 177.000000, SHVR, 2441, 10, 244.100000, ZIC, 1447, 10, 144.700000, ZIP, 1316, 10, 131.600000, 158, 159, 
84, 000180, 163, 179, AA, 551, 10, 55.100000, GDX, 920, 10, 92.000000, GVWY, 270, 10, 27.000000, SHVR, 2289, 10, 228.900000, ZIC, 781, 10, 78.100000, ZIP, 1905, 10, 190.500000, 163, 179, 
85, 000180, 155, 168, AA, 295, 10, 29.500000, GDX, 852, 10, 85.200000, GVWY, 1509, 10, 150.900000, SHVR, 3310, 10, 331.000000, ZIC, 987, 10, 98.700000, ZIP, 2741, 10, 274.100000, 155, 168, 
86, 000180, 157, 167, AA, 426, 10, 42.600000, GDX, 889, 10, 88.900000, GVWY, 1686, 10, 168.600000, SHVR, 1794, 10, 179.400000, ZIC, 1024, 10, 102.400000, ZIP, 1162, 10, 116.200000, 157, 167, 
87, 000180, 151, 188, AA, 425, 10, 42.500000, GDX, 1362, 10, 136.200000, GVWY, 2191, 10, 219.100000, SHVR, 575, 10, 57.500000, ZIC, 1143, 10, 114.300000, ZIP, 2018, 10, 201.800000, 151, 188, 
88, 000180, 154, 176, AA, 215, 10, 21.500000, GDX, 803, 10, 80.300000, GVWY, 3403, 10, 340.300000, SHVR, 1186, 10, 118.600000, ZIC, 1596, 10, 159.600000, ZIP, 2359, 10, 235.900000, 154, 176, 
89, 000180, 170, 179, AA, 765, 10, 76.500000, GDX, 519, 10, 51.900000, GVWY, 1767, 10, 176.700000, SHVR, 2302, 10, 230.200000, ZIC, 1231, 10, 123.100000, ZIP, 2040, 10, 204.000000, 170, 179, 
90, 000180, 152, 154, AA, 602, 10, 60.200000, GDX, 432, 10, 43.200000, GVWY, 2151, 10, 215.100000, SHVR, 1867, 10, 186.700000, ZIC, 2001, 10, 200.100000, ZIP, 2135, 10, 213.500000, 152, 154, 
91, 000180, 154, 157, AA, 703, 10, 70.300000, GDX, 592, 10, 59.200000, GVWY, 1352, 10, 135.200000, SHVR, 1757, 10, 175.700000, ZIC, 585, 10, 58.500000, ZIP, 3661, 10, 366.100000, 154, 157, 
92, 000180, 147, 159, AA, 614, 10, 61.400000, GDX, 1249, 10, 124.900000, GVWY, 2701, 10, 270.100000, SHVR, 1861, 10, 186.100000, ZIC, 550, 10, 55.000000, ZIP, 3254, 10, 325.400000, 147, 159, 
93, 000180, 169, 172, AA, 130, 10, 13.000000, GDX, 823, 10, 82.300000, GVWY, 3113, 10, 311.300000, SHVR, 4129, 10, 412.900000, ZIC, 886, 10, 88.600000, ZIP, 1053, 10, 105.300000, 169, 172, 
94, 000180, 158, 162, AA, 330, 10, 33.000000, GDX, 778, 10, 77.800000, GVWY, 2209, 10, 220.900000, SHVR, 2797, 10, 279.700000, ZIC, 986, 10, 98.600000, ZIP, 1403, 10, 140.300000, 158, 162, 
95, 000180, 155, 165, AA, 293, 10, 29.300000, GDX, 1244, 10, 124.400000, GVWY, 1283, 10, 128.300000, SHVR, 1826, 10, 182.600000, ZIC, 1213, 10, 121.300000, ZIP, 1167, 10, 116.700000, 155, 165, 
96, 000180, 155, 158, AA, 220, 10, 22.000000, GDX, 285, 10, 28.500000, GVWY, 2873, 10, 287.300000, SHVR, 1814, 10, 181.400000, ZIC, 814, 10, 81.400000, ZIP, 2005, 10, 200.500000, 155, 158, 
97, 000180, 148, 165, AA, 54, 10, 5.400000, GDX, 829, 10, 82.900000, GVWY, 3486, 10, 348.600000, SHVR, 1306, 10, 130.600000, ZIC, 1159, 10, 115.900000, ZIP, 2675, 10, 267.500000, 148, 165, 
98, 000180, 152, 155, AA, 921, 10, 92.100000, GDX, 1127, 10, 112.700000, GVWY, 1615, 10, 161.500000, SHVR, 1927, 10, 192.700000, ZIC, 994, 10, 99.400000, ZIP, 1891, 10, 189.100000, 152, 155, 
99, 000180, 160, 166, AA, 441, 10, 44.100000, GDX, 283, 10, 28.300000, GVWY, 1788, 10, 178.800000, SHVR, 3983, 10, 398.300000, ZIC, 1824, 10, 182.400000, ZIP, 1470, 10, 147.000000, 160, 166, 
100, 000180, 157, 159, AA, 617, 10, 61.700000, GDX, 512, 10, 51.200000, GVWY, 2283, 10, 228.300000, SHVR, 3800, 10, 380.000000, ZIC, 783, 10, 78.300000, ZIP, 2937, 10, 293.700000, 157, 159, 
